Mould Code,Mould Name,ItemNo,Description
BASN7LT00000,BASIN SQ 7LT 2022,FGBASBI7LT01,SQ BIN 7LT - MALDIVE
,,FGBASBI7LT02,SQ BIN 7LT - APPLE
,,FGBASBI7LT03,SQ BIN 7LT - ORANGE
,,FGBASBI7LT04,SQ BIN 7LT - FOG
,,FGBASBI7LT05,SQ BIN 7LT - BEIGE TEA
,,FGBASBI7LT06,SQ BIN 7LT- GREIGE TEA
,,FGBASBI7LT07,SQ BIN 7LT- BROWN TEA
.,,,
BASN81800000,BASIN 8180,FGBAS8180003,BASIN 8180  SUPERIOR - RED
,,FGBAS8180004,BASIN 8180 ECON - RED
,,FGBAS8180005,BASIN 8180  SUPERIOR - ORANGE
,,FGBAS8180007,BASIN 8180  SUPERIOR - BLUE
,,FGBAS8180044,BASIN 8180 SUPERIOR - RECYCLE BLACK
.,,,
BASN81800001,BASIN 8180  SUPERIOR 2018,FGBAS8180036,BASIN 8180  SUPERIOR 2018- CLEAR
,,FGBAS8180042,BASIN 8180 SUPERIOR 2018 - PHX 01 - D. GREEN NEW
,,FGBAS8180043,BASIN 8180 SUPERIOR 2018 - PHX 01 - LT.GREEN NEW
,,FGBAS8180045,BASIN 8180 SUPERIOR - TR. BLUE 1
,,FGBAS8180046,BASIN 8180 SUPERIOR - TR. BLUE 2
,,FGBAS8180047,BASIN 8180 SUPERIOR - TR. GREEN 
,,FGBAS8180048,BASIN 8180 SUPERIOR - TR. PINK 
.,,,
BASN91800000,BASIN 9180,FGBAS9180002,BASIN 9180  SUPERIOR- RED
,,FGBAS9180011,BASIN 9180 SUPERIOR - L. GREEN
,,FGBAS9180037,BASIN 9180 SUPERIOR - PHX 01 - D. GREEN NEW
,,FGBAS9180038,BASIN 9180 SUPERIOR - PHX 01 - LT.GREEN NEW
.,,,
BASNCAN15L00,BASIN CANOE 15LT 2022,FGBASC15LT01,CANOE BASIN 15LT - SUNNY
,,FGBASC15LT02,CANOE BASIN 15LT - OCEAN
,,FGBASC15LT03,CANOE BASIN 15LT - VIOLET
,,FGBASC15LT04,CANOE BASIN 15LT-BEIGE TEA
,,FGBASC15LT05,CANOE BASIN 15LT-GREIGE TEA
,,FGBASC15LT06,CANOE BASIN 15LT-BROWN TEA
,,FGBASC15LT07,CANOE BASIN 15LT - NILE
,,FGBASC15LT08,CANOE BASIN 15LT - FOG
,,FGBASC15LT09,CANOE BASIN 15LT - LAVENDERˇ
.,,,
BASNCAN25L00,BASIN CANOE 25LT 2022,FGBASC25LT01,CANOE  BASIN 25LT - LT. GREEN
,,FGBASC25LT02,CANOE BASIN 25LT - NILE
,,FGBASC25LT03,CANOE BASIN 25LT - LAVENDER
,,FGBASC25LT04,CANOE BASIN 25LT-BEIGE TEA
,,FGBASC25LT05,CANOE BASIN 25LT-GREIGE TEA
,,ENGNINHU0011,INDUCTION HEATING UNIT
.,,,
BASNCAN35L00,BASIN CANOE 35LT 2022,FGBASC35LT01,CANOE BASIN 35LT - GRASS
,,FGBASC35LT02,CANOE BASIN 35LT - FOG
,,FGBASC35LT03,CANOE BASIN 35LT - ORANGE
,,FGBASC35LT04,CANOE BASIN 35LT - OCEAN
,,FGBASC35LT05,CANOE BASIN 35LT-BEIGE TEA
,,FGBASC35LT06,CANOE BASIN 35LT-GREIGE TEA
,,FGBASC35LT07,CANOE BASIN 35LT-BROWN TEA
,,FGBASC35LT08,CANOE BASIN 35LT - NILEˇ
,,FGBASC35LT09,CANOE BASIN 35LT - LAVENDERˇ
.,,,
BASNCANDPL00,BASIN CANOE DRAIN PLUG 2022,FGBASCADR001,BASIN CANOE DRAIN PLUG - FOG
,,FGBASCADR002,BASIN CANOE SOAP TRAY - FOG
.,,,
BKT05LTPBT00,PAIL 5L BOTTOM 2016,SFBKT5LTB050,PAIL 5L BOTTOM 2016 - CLEAR
,,SFBKT5LTB054,PAIL 5L BOTTOM 2016 - VIOLET
,,SFBKT5LTB056,PAIL 5L BOTTOM 2016 - FOG
,,SFBKT5LTB057,PAIL 5L BOTTOM 2016 - WHITE
.,,,
BKT05LTPHD00,PAIL 5L HANDLE 2016,SFBKT5LTH009,PAIL 5L HANDLE 2016 - VIOLET
,,SFBKT5LTH011,PAIL 5L HANDLE 2016 - ORANGE 805C
,,SFBKT5LTH012,PAIL 5L HANDLE 2016 - LT.GREEN NEW
,,SFBKT5LTH013,PAIL 5L HANDLE 2016 - YELLOW NEW
,,SFBKT5LTH014,PAIL 5L HANDLE 2016 - D.GREEN NEW
,,SFBKT5LTH015,PAIL 5L HANDLE 2016 - ORANGE RAL
,,SFBKT5LTH016,PAIL 5L HANDLE 2016 - PINK
,,SFBKT5LTH017,PAIL 5L HANDLE 2016 - BLUE
,,SFBKT5LTH018,PAIL 5L HANDLE 2016 - NIGHT
,,SFBKT5LTH010,PAIL 5L HANDLE 2016 - RECYCLE BLACKˇ
.,,,
BKT05LTPTP00,PAIL 5L LID 2016,SFBKT5LTT054,PAIL 5L LID 2016 - VIOLET
,,SFBKT5LTT058,PAIL 5L LID 2016 - ORANGE 805C
,,SFBKT5LTT059,PAIL 5L LID 2016 - LT.GREEN NEW
,,SFBKT5LTT060,PAIL 5L LID 2016 - YELLOW NEW
,,SFBKT5LTT061,PAIL 5L LID 2016 - D.GREEN NEW
,,SFBKT5LTT062,PAIL 5L LID 2016 - ORANGE RAL
,,SFBKT5LTT063,PAIL 5L LID 2016 - ORANGE RAL
,,SFBKT5LTT064,PAIL 5L LID 2016 - BLUE
,,SFBKT5LTT065,PAIL 5L LID 2016 - NIGHT
,,SFBKT5LTT055,PAIL 5L LID 2016 - RECYCLE BLACKˇ
.,,,
BKT10LTPBT00,PAIL 10L BOTTOM 2016,SFBKT10LTB05,PAIL 10L BOTTOM 2016 - CLEAR
,,SFBKT10LTB06,PAIL 10L BOTTOM 2016 - FOG
.,,,
BKT10LTPHD00,PAIL 10L HANDLE 2016,SFBKT10LTH08,PAIL 10L HANDLE 2016 - GREEN
,,SFBKT10LTH12,PAIL 10L HANDLE 2016 - ORANGE 805C
,,SFBKT10LTH13,PAIL 10L HANDLE 2016 - LT.GREEN NEW
,,SFBKT10LTH14,PAIL 10L HANDLE 2016 - YELLOW NEW
,,SFBKT10LTH15,PAIL 10L HANDLE 2016 - D. GREEN NEW
,,SFBKT10LTH16,PAIL 10L HANDLE 2016 - ORANGE RAL
,,SFBKT10LTH17,PAIL 10L HANDLE 2016 - NIGHT
.,,,
BKT10LTPTP00,PAIL 10L LID 2016,SFBKT10LTT08,PAIL 10L LID 2016 - GREEN
,,SFBKT10LTT14,PAIL 10L LID 2016 - ORANGE 805C
,,SFBKT10LTT15,PAIL 10L LID 2016 - LT.GREEN NEW
,,SFBKT10LTT16,PAIL 10L LID 2016 - YELLOW NEW
,,SFBKT10LTT17,PAIL 10L LID 2016 - D. GREEN NEW
,,SFBKT10LTT18,PAIL 10L LID 2016 - ORANGE RAL
,,SFBKT10LTT19,PAIL 10L LID 2016 - NIGHT
.,,,
BKT15LTPBT00,PAIL 15L BOTTOM 2016,SFBKT15LB017,PAIL 15L BOTTOM 2016 - CLEAR
,,SFBKT15LB019,PAIL 15L BOTTOM 2016 - FOG
,,SFBKT15LB020,PAIL 15L BOTTOM  2016 - RECYCLE BLACK
.,,,
BKT15LTPHD00,PAIL 15L HANDLE 2016,SFBKT15LTH07,PAIL 15L HANDLE 2016 - ORANGE 805C
,,SFBKT15LTH08,PAIL 15L HANDLE 2016 - LT.GREEN NEW
,,SFBKT15LTH09,PAIL 15L HANDLE 2016 - YELLOW NEW
,,SFBKT15LTH10,PAIL 15L HANDLE 2016 - D.GREEN NEW
,,SFBKT15LTH11,PAIL 15L HANDLE 2016 - ORANGE RAL
,,SFBKT15LTH12,PAIL 15L HANDLE 2016 - CLEAR (EXP)
,,SFBKT15LTH13,PAIL 15L HANDLE 2016 - NIGHT
,,SFBKT15LTH14,PAIL 15L HANDLE 2016 - RECYCLE BLACKˇ
.,,,
BKT15LTPTP00,PAIL 15L LID 2016,SFBKT15LT019,PAIL 15L LID 2016 - ORANGE 805C
,,SFBKT15LT020,PAIL 15L LID 2016 - LT.GREEN NEW
,,SFBKT15LT021,PAIL 15L LID 2016 - YELLOW NEW
,,SFBKT15LT022,PAIL 15L LID 2016 - D.GREEN NEW
,,SFBKT15LT023,PAIL 15L LID 2016 - ORANGE RAL
,,SFBKT15LT024,PAIL 15L LID 2016 - CLEAR (EXP)
,,SFBKT15LT025,PAIL 15L LID 2016 - NIGHT
,,SFBKT15LT026,PAIL 15L LID 2016 - RECYCLE BLACKˇ
.,,,
BKT18LTPBT00,PAIL 18L BOTTOM 2016,SFBKT18LB011,PAIL 18L BOTTOM 2016 - FOG
,,SFBKTA18LB04,PAIL 18L BOTTOM 2016 - CLEAR
.,,,
BKT18LTPHD00,PAIL 18L HANDLE 2016,SFBKT18LTH07,PAIL 18L HANDLE 2016 - LT.GREEN NEW
,,SFBKT18LTH08,PAIL 18L HANDLE 2016 - YELLOW NEW
,,SFBKT18LTH09,PAIL 18L HANDLE 2016 - D.GREEN NEW
,,SFBKT18LTH10,PAIL 18L HANDLE 2016 - ORANGE RAL
,,SFBKT18LTH11,PAIL 18L HANDLE 2016 - CLEAR (EXP)
,,SFBKT18LTH12,PAIL 18L HANDLE 2016 -  NIGHT
.,,,
BKT18LTPTP00,PAIL 18L LID 2016,SFBKT18LT011,PAIL 18L LID 2016 - ORANGE 805C
,,SFBKT18LT012,PAIL 18L LID 2016 - LT.GREEN NEW
,,SFBKT18LT013,PAIL 18L LID 2016 - YELLOW NEW
,,SFBKT18LT014,PAIL 18L LID 2016 - D.GREEN NEW
,,SFBKT18LT015,PAIL 18L LID 2016 - ORANGE RAL
,,SFBKT18LT016,PAIL 18L LID 2016 - CLEAR (EXP)
,,SFBKT18LT017,PAIL 18L LID 2016 -  NIGHT
,,SFBKT18LTH06,PAIL 18L HANDLE 2016 - ORANGE 805C
.,,,
BKT25LTPBT00,PAIL 25L BOTTOM 2016,SFBKT25LB009,PAIL 25L BOTTOM 2016 - CLEAR
,,SFBKT25LB010,PAIL 25L BOTTOM 2016 - FOG
.,,,
BKT25LTPHD00,PAIL 25L HANDLE 2016,SFBKT25LTH10,PAIL 25L HANDLE 2016 - ORANGE 805C
,,SFBKT25LTH11,PAIL 25L HANDLE 2016 - LT.GREEN NEW
,,SFBKT25LTH12,PAIL 25L HANDLE 2016 - YELLOW NEW
,,SFBKT25LTH13,PAIL 25L HANDLE 2016 - D. GREEN NEW
,,SFBKT25LTH14,PAIL 25L HANDLE 2016 - ORANGE RAL
,,SFBKT25LTH15,PAIL 25L HANDLE 2016 -NIGHT
.,,,
BKT25LTPTP00,PAIL 25L LID 2016,SFBKT25LT010,PAIL 25L LID 2016 - ORANGE 805C
,,SFBKT25LT011,PAIL 25L LID 2016 - LT.GREEN NEW
,,SFBKT25LT012,PAIL 25L LID 2016 - YELLOW NEW
,,SFBKT25LT013,PAIL 25L LID 2016 - D. GREEN NEW
,,SFBKT25LT015,PAIL 25L LID 2016 - ORANGE RAL
,,SFBKT25LT016,PAIL 25L LID 2016 NIGHT
.,,,
BTTBANGL0000,BABY BATH TUB ANGEL,FGBBT0000010,BABY BATH TUB ANGEL- ANGEL BLUE
,,FGBBT0000011,BABY BATH TUB ANGEL- PINK
